INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.87875, eval/precision = 0.9101991, eval/recall = 0.930619, global_step = 50000, loss = 0.31840327
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.885625, eval/precision = 0.9057654, eval/recall = 0.9464063, global_step = 50000, loss = 0.35171887
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.90875, eval/precision = 0.9393436, eval/recall = 0.9393436, global_step = 50000, loss = 0.30048704
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9078125, eval/precision = 0.93207854, eval/recall = 0.9464063, global_step = 50000, loss = 0.30755967
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8671875, eval/precision = 0.90852904, eval/recall = 0.9156977, global_step = 50000, loss = 0.3249193
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.89, eval/precision = 0.9175132, eval/recall = 0.93809724, global_step = 50000, loss = 0.32608792
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8971875, eval/precision = 0.92547095, eval/recall = 0.9389281, global_step = 50000, loss = 0.32698795
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.884375, eval/precision = 0.93618846, eval/recall = 0.90818447, global_step = 50000, loss = 0.32651606
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9365625, eval/precision = 0.9476036, eval/recall = 0.96925634, global_step = 50000, loss = 0.25220832
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8734375, eval/precision = 0.9039548, eval/recall = 0.930619, global_step = 50000, loss = 0.36034906
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9128125, eval/precision = 0.93822074, eval/recall = 0.9464063, global_step = 50000, loss = 0.28224376
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.93125, eval/precision = 0.9223638, eval/recall = 0.9921064, global_step = 50000, loss = 0.2567986
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9065625, eval/precision = 0.9185862, eval/recall = 0.9609472, global_step = 50000, loss = 0.31300983
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.89, eval/precision = 0.92371136, eval/recall = 0.930619, global_step = 50000, loss = 0.3176605
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.89625, eval/precision = 0.90670323, eval/recall = 0.9609472, global_step = 50000, loss = 0.30965406
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.90625, eval/precision = 0.9447024, eval/recall = 0.9297881, global_step = 50000, loss = 0.3012825
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.831875, eval/precision = 0.9393512, eval/recall = 0.83007896, global_step = 50000, loss = 0.41412705
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.9315625, eval/precision = 0.94115275, eval/recall = 0.96968436, global_step = 50000, loss = 0.2700028
INFO:tensorflow:Saving dict for global step 50000: eval/accuracy = 0.8965625, eval/precision = 0.9379747, eval/recall = 0.92355627, global_step = 50000, loss = 0.2854768
