Wall time,Step,Value
1528651177.050489,12574,-10.111238479614258
1528651181.681041,12673,-10.131139755249023
1528651186.272863,12772,-10.105167388916016
1528651194.016513,12871,-10.108759880065918
1528651198.590014,12970,-10.120258331298828
1528651202.999523,13069,-10.124153137207031
1528651207.520757,13168,-10.102344512939453
1528651212.158195,13267,-10.098464965820312
1528651216.760594,13366,-10.101238250732422
1528651221.409553,13465,-10.085699081420898
1528651225.748241,13564,-10.073575019836426
1528651230.235951,13663,-10.071847915649414
1528651234.823422,13762,-10.094927787780762
1528651239.217092,13861,-10.073476791381836
1528651243.550196,13960,-10.073880195617676
1528651248.086112,14059,-10.037212371826172
1528651252.826117,14158,-10.04332447052002
1528651257.295655,14257,-10.024688720703125
1528651261.931588,14356,-10.027338981628418
1528651266.539672,14455,-9.982589721679688
1528651271.19647,14554,-9.968703269958496
1528651276.073885,14653,-9.958380699157715
1528651280.797345,14752,-9.965641021728516
1528651285.445199,14851,-9.995391845703125
1528651290.079826,14950,-10.009729385375977
1528651294.855906,15049,-10.012945175170898
1528651299.475326,15148,-10.004511833190918
1528651304.026378,15247,-9.993842124938965
1528651308.702614,15346,-9.975262641906738
1528651313.488474,15445,-9.95199203491211
1528651318.291781,15544,-9.948314666748047
1528651322.790211,15643,-9.948476791381836
1528651327.358566,15742,-9.945436477661133
1528651331.86843,15841,-9.921316146850586
1528651336.665357,15940,-9.908900260925293
1528651341.424786,16039,-9.89512825012207
1528651346.125919,16138,-9.879499435424805
1528651350.751768,16237,-9.86453914642334
1528651355.254056,16336,-9.831607818603516
1528651359.749435,16435,-9.828030586242676
1528651364.243443,16534,-9.819732666015625
1528651368.768738,16633,-9.798713684082031
1528651373.491342,16732,-9.793496131896973
1528651378.046139,16831,-9.780091285705566
1528651382.522201,16930,-9.768349647521973
1528651387.057929,17029,-9.738608360290527
1528651391.733502,17128,-9.720756530761719
1528651396.321104,17227,-9.71743392944336
1528651401.006217,17326,-9.698771476745605
1528651405.518582,17425,-9.704252243041992
1528651410.00055,17524,-9.683635711669922
1528651414.546098,17623,-9.68674087524414
1528651419.05729,17722,-9.662604331970215
1528651423.526716,17821,-9.650323867797852
1528651428.157358,17920,-9.634796142578125
1528651432.707488,18019,-9.625045776367188
1528651437.071895,18118,-9.605213165283203
1528651441.578021,18217,-9.596871376037598
1528651446.257128,18316,-9.596626281738281
1528651450.886699,18415,-9.565153121948242
1528651455.385409,18514,-9.5663423538208
1528651459.858646,18613,-9.547863006591797
1528651464.352789,18712,-9.535356521606445
1528651468.938063,18811,-9.52281665802002
1528651473.458589,18910,-9.503002166748047
1528651477.848452,19009,-9.49034309387207
1528651482.280702,19108,-9.47323989868164
1528651486.791608,19207,-9.454585075378418
1528651491.415626,19306,-9.45039176940918
1528651496.016803,19405,-9.431646347045898
1528651500.6342,19504,-9.427946090698242
1528651504.949919,19603,-9.41080379486084
1528651509.690235,19702,-9.414464950561523
1528651514.069756,19801,-9.390655517578125
1528651518.682161,19900,-9.3873291015625
1528651523.183728,19999,-9.373818397521973
1528651528.009095,20098,-9.357566833496094
1528651532.596441,20197,-9.349227905273438
1528651537.38642,20296,-9.327615737915039
1528651542.06027,20395,-9.311147689819336
1528651546.751165,20494,-9.293294906616211
1528651551.317769,20593,-9.273595809936523
1528651555.938601,20692,-9.258109092712402
1528651560.428265,20791,-9.253314018249512
1528651564.906933,20890,-9.231708526611328
1528651569.512034,20989,-9.217109680175781
1528651574.1987,21088,-9.194891929626465
1528651578.912924,21187,-9.182073593139648
1528651583.618161,21286,-9.178860664367676
1528651588.190933,21385,-9.169734954833984
1528651592.823491,21484,-9.158048629760742
1528651597.423883,21583,-9.150432586669922
1528651601.9121,21682,-9.133367538452148
1528651606.349663,21781,-9.127754211425781
1528651610.803297,21880,-9.110725402832031
1528651615.314648,21979,-9.092456817626953
1528651619.993028,22078,-9.063728332519531
1528651624.612298,22177,-9.048171997070312
1528651629.100675,22276,-9.037651062011719
1528651633.537156,22375,-9.023357391357422
1528651638.118426,22474,-8.9890775680542
1528651642.789452,22573,-8.982330322265625
1528651647.444966,22672,-8.955074310302734
1528651652.108202,22771,-8.942161560058594
1528651656.731283,22870,-8.93290901184082
1528651661.286443,22969,-8.917360305786133
1528651665.926871,23068,-8.904972076416016
1528651670.561029,23167,-8.886619567871094
1528651675.065165,23266,-8.855969429016113
1528651679.541114,23365,-8.850478172302246
1528651684.040428,23464,-8.828319549560547
1528651688.758076,23563,-8.82390022277832
1528651693.343541,23662,-8.80561637878418
1528651697.933044,23761,-8.781733512878418
1528651702.529227,23860,-8.766742706298828
1528651707.132684,23959,-8.74664306640625
1528651711.818533,24058,-8.733503341674805
1528651716.39463,24157,-8.710308074951172
1528651720.927164,24256,-8.707868576049805
1528651725.438384,24355,-8.686802864074707
1528651730.011745,24454,-8.670005798339844
1528651734.645504,24553,-8.656120300292969
1528651739.394382,24652,-8.665726661682129
1528651743.998362,24751,-8.656665802001953
1528651748.468331,24850,-8.632133483886719
1528651753.180894,24949,-8.633857727050781
1528651757.944518,25048,-8.61080265045166
1528651762.557643,25147,-8.598997116088867
1528651767.295051,25246,-8.58762264251709
1528651772.0111,25345,-8.564093589782715
1528651776.764972,25444,-8.552892684936523
1528651781.348314,25543,-8.546369552612305
1528651794.388358,25741,-8.521402359008789
